Сервис,Уровень,Аккаунтов,Стоимость без НДС,Стоимость 1 аккаунта,Минут,Период,Примечание,Итого стоимость с НДС с учетом количества аккаунтов,цена,Unnamed: 10,Unnamed: 11,Аккаунтов.1,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Пользователей,Unnamed: 26,Уровень.1,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,цена1,Unnamed: 47,Unnamed: 48,Аккаунтов.2,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
Предприятие,Эксперт,10.0,112.5,135.0,800,2025-10-01,,1350.0,,,Эксперт,2193.96,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",,1,1,1,1,,,Оптимальный,Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,1828.3,,,,,,,,,,
Предприятие,Оптимальный,1.0,139.72,167.66,400,2025-10-01,,167.66,,Доппакет НМВ,(пусто),,,,,,,,,,,15.36,,,,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",,1,1,1,1,,,Оптимальный,Предприятие ПРОФ,-,,,,,,,,,,,Доппакет НМВ,(пусто),,,,,,,,,,,12.8
Предприятие,Оптимальный,2.0,116.32,139.58,400,2025-10-01,,279.17,,Доппакет НОВ,(пусто),,,,,,,,,,,14.9,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",,1,1,1,1,,,Оптимальный,Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,Доппакет НОВ,(пусто),,,,,,,,,,,12.42
Предприятие,Оптимальный,3.0,90.81,108.97,400,2025-10-01,,326.92,,Доппакет МВ Комплекс,(пусто),,,,,,,,,,,15.36,,,,Доппакет ЛД Podpis,,,,,,,,Оптимальный,VIP Предприятие (1 пользователь),-,,,,,,,,,,,Доппакет МВ Комплекс,(пусто),,,,,,,,,,,12.8
Предприятие,Оптимальный,4.0,78.73,94.48,400,2025-10-01,,377.9,,Доппакет ОВ Комплекс,(пусто),,,,,,,,,,,14.9,,,,Доппакет ЛД Накладные,,,,,,,,Оптимальный,Комплекс коммерческий Главный Бухгалтер ПРОФ,-,,,,,,,,,,,Доппакет ОВ Комплекс,(пусто),,,,,,,,,,,12.42
Предприятие,Оптимальный,5.0,67.99,81.59,400,2025-10-01,,407.94,,Комплекс коммерческий Главный Бухгалтер ПРОФ,Оптимальный,141.48,117.53,91.46,79.09,68.14,,,,,,,,,2025-08-01 00:00:00,VIP Предприятие,10,10,10,,,,,Оптимальный,Комплекс коммерческий Предприятие,-,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ,Оптимальный,117.9,97.94,76.22,65.91,56.78,,,,,,
Предприятие,Оптимальный,6.0,67.68,81.22,400,2025-10-01,,487.3,,,Эксперт,236.81,197.05,153.78,133.28,115.09,,,,,,,,,,Главный Бухгалтер ПРОФ,,5,5,3,,,,Оптимальный,Комплекс коммерческий Предприятие ПРОФ,-,,,,,,,,,,,,Эксперт,197.34,164.21,128.15,111.07,95.91,,,,,,
Предприятие,Оптимальный,7.0,65.99,79.19,400,2025-10-01,,554.32,,,Базовый,37.09,34.02,33.72,,,,,,,,,,,,Главный Бухгалтер ПРОФ (1 пользователь),,,1,,,,,Оптимальный,Комплекс коммерческий VIP Предприятие,-,,,,,,,,,,,,Базовый,30.91,28.35,28.1,,,,,,,,
Предприятие,Оптимальный,8.0,64.35,77.22,400,2025-10-01,,617.76,,Комплекс коммерческий Предприятие,Минимальный,42.79,39.23,38.93,38.68,38.34,,,,,,,,,,Предприятие,5,10,10,,,,,Оптимальный,Комплекс коммерческий Предприятие (1 пользователь),-,,,,,,,,,,,Комплекс коммерческий Предприятие,Минимальный,35.66,32.69,32.44,32.23,31.95,,,,,,
Предприятие,Оптимальный,9.0,62.73,75.28,400,2025-10-01,,677.48,,,Оптимальный,161.86,134.35,104.57,90.4,77.83,77.26,75.32,73.44,71.6,69.84,,,,,Предприятие (1 пользователь),1,1,1,,,,,Оптимальный,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,,Оптимальный,134.88,111.96,87.14,75.33,64.86,64.38,62.77,61.2,59.67,58.2,
Предприятие,Оптимальный,10.0,61.18,73.42,400,2025-10-01,,734.16,,,Эксперт,291.25,242.44,189.16,163.91,141.52,140.42,136.94,133.49,130.15,126.9,,,,,Предприятие ПРОФ,10,10,10,,,,,Оптимальный,Комплекс коммерческий VIP Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,242.71,202.03,157.63,136.59,117.93,117.02,114.12,111.24,108.46,105.75,
Предприятие,Минимальный,1.0,36.5,43.8,60,2025-10-01,,43.8,,Комплекс коммерческий Предприятие ПРОФ,Минимальный,55.38,50.75,46.51,42.54,38.99,35.74,32.15,28.91,26.05,23.74,,,,,Предприятие ПРОФ (1 пользователь),1,1,1,,,,,Оптимальный,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ,Минимальный,46.15,42.29,38.76,35.45,32.49,29.78,26.79,24.09,21.71,19.78,
Предприятие,Минимальный,2.0,33.56,40.27,60,2025-10-01,,80.54,,,Оптимальный,318.83,264.68,206.04,178.22,153.48,135.32,119.26,106.46,96.66,90.05,,,,,VIP Предприятие (1 пользователь),1,1,1,,,,,Оптимальный,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,,Оптимальный,265.69,220.57,171.7,148.52,127.9,112.77,99.38,88.72,80.55,75.04,
Предприятие,Минимальный,3.0,33.4,40.08,60,2025-10-01,,120.24,,,Эксперт,669.77,557.52,434.92,377.05,325.45,287.74,254.23,227.44,207.08,193.48,,,,,Доппакет НМВ,,,,,,,,Оптимальный,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Эксперт,558.14,464.6,362.43,314.21,271.21,239.78,211.86,189.53,172.57,161.23,
Предприятие,Минимальный,4.0,33.28,39.94,60,2025-10-01,,159.74,,Комплекс коммерческий VIP Предприятие,Минимальный,64.36,58.94,53.96,49.49,45.3,41.51,37.37,33.62,30.26,27.54,,,,,Доппакет НОВ,,,,,,,,Оптимальный,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,Комплекс коммерческий VIP Предприятие,Минимальный,53.63,49.12,44.97,41.24,37.75,34.59,31.14,28.02,25.22,22.95,
Предприятие,Минимальный,5.0,33.09,39.71,60,2025-10-01,,198.54,,,Оптимальный,524.76,462.97,408.38,360.22,317.65,280.12,246.97,220.42,200.11,186.44,,,,,Доппакет МВ Комплекс,,,,,,,,Эксперт,VIP Предприятие,-,,,,,,,,,,,,Оптимальный,437.3,385.81,340.32,300.18,264.71,233.43,205.81,183.68,166.76,155.37,
Предприятие ПРОФ,Эксперт,1.0,591.11,709.33,800,2025-10-01,,709.33,,,Эксперт,845.88,747.98,661.4,584.82,517.02,456.96,403.96,361.42,328.8,307.12,,,,,Доппакет ОВ Комплекс,,,,,,,,Эксперт,Главный Бухгалтер ПРОФ,-,,,,,,,,,,,,Эксперт,704.9,623.32,551.17,487.35,430.85,380.8,336.63,301.18,274.0,255.93,
Предприятие ПРОФ,Эксперт,2.0,493.49,592.19,800,2025-10-01,,1184.38,,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),Эксперт,468.0,,,,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ,,5,5,3,,,,Эксперт,Главный Бухгалтер ПРОФ (1 пользователь),-,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),Эксперт,390.0,,,,,,,,,,
Предприятие ПРОФ,Эксперт,3.0,386.1,463.32,800,2025-10-01,,1389.96,,Комплекс коммерческий Предприятие (1 пользователь),Минимальный,99.37,,,,,,,,,,,,,,Комплекс коммерческий Предприятие,5,10,10,,,,,Эксперт,Предприятие,-,,,,,,,,,,,Комплекс коммерческий Предприятие (1 пользователь),Минимальный,82.81,,,,,,,,,,
Предприятие ПРОФ,Эксперт,4.0,335.73,402.88,800,2025-10-01,,1611.5,,,Оптимальный,235.28,,,,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ,10,10,10,,,,,Эксперт,Предприятие (1 пользователь),-,,,,,,,,,,,,Оптимальный,196.07,,,,,,,,,,
Предприятие ПРОФ,Эксперт,5.0,290.63,348.76,800,2025-10-01,,1743.78,,,Эксперт,593.22,,,,,,,,,,,,,,Комплекс коммерческий VIP Предприятие,10,10,10,,,,,Эксперт,Предприятие ПРОФ,-,,,,,,,,,,,,Эксперт,494.35,,,,,,,,,,
Предприятие ПРОФ,Эксперт,6.0,257.7,309.24,800,2025-10-01,,1855.44,,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),Минимальный,176.87,,,,,,,,,,,,,,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),,,1,,,,,Эксперт,Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),Минимальный,147.39,,,,,,,,,,
Предприятие ПРОФ,Эксперт,7.0,227.7,273.24,800,2025-10-01,,1912.68,,,Оптимальный,419.18,,,,,,,,,,,,,,Комплекс коммерческий Предприятие (1 пользователь),1,1,1,,,,,Эксперт,VIP Предприятие (1 пользователь),-,,,,,,,,,,,,Оптимальный,349.32,,,,,,,,,,
Предприятие ПРОФ,Эксперт,8.0,203.69,244.43,800,2025-10-01,,1955.42,,,Эксперт,1083.06,,,,,,,,,,,,,,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),1,1,1,,,,,Эксперт,Комплекс коммерческий Главный Бухгалтер ПРОФ,-,,,,,,,,,,,,Эксперт,902.55,,,,,,,,,,
Предприятие ПРОФ,Эксперт,9.0,185.47,222.56,800,2025-10-01,,2003.08,,Комплекс коммерческий VIP Предприятие (1 пользователь),Минимальный,374.87,,,,,,,,,,,,,,Комплекс коммерческий VIP Предприятие (1 пользователь),1,1,1,,,,,Эксперт,Комплекс коммерческий Предприятие,-,,,,,,,,,,,Комплекс коммерческий VIP Предприятие (1 пользователь),Минимальный,312.39,,,,,,,,,,
Предприятие ПРОФ,Эксперт,10.0,173.28,207.94,800,2025-10-01,,2079.36,,,Оптимальный,857.42,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",,1,1,1,1,,,Эксперт,Комплекс коммерческий Предприятие ПРОФ,-,,,,,,,,,,,,Оптимальный,714.52,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,1.0,278.09,333.71,400,2025-10-01,,333.71,,,Эксперт,2193.96,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",,1,1,1,1,,,Эксперт,Комплекс коммерческий VIP Предприятие,-,,,,,,,,,,,,Эксперт,1828.3,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,2.0,231.54,277.85,400,2025-10-01,,555.7,,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",Оптимальный,92.26,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",,1,1,1,1,,,Эксперт,Комплекс коммерческий Главный Бухгалтер ПРОФ (1 пользователь),-,,,,,,,,,,,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",Оптимальный,76.88,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,3.0,180.77,216.92,400,2025-10-01,,650.77,,,Эксперт,236.53,,,,,,,,,,,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",,1,1,1,1,,,Эксперт,Комплекс коммерческий Предприятие (1 пользователь),-,,,,,,,,,,,,Эксперт,197.11,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,4.0,156.83,188.2,400,2025-10-01,,752.78,,,Базовый,40.69,,,,,,,,,,,,,,Доппакет ЛД Podpis,,,,,,,,Эксперт,Комплекс коммерческий Предприятие ПРОФ (1 пользователь),-,,,,,,,,,,,,Базовый,33.91,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,5.0,135.46,162.55,400,2025-10-01,,812.76,,,Оптимальный Плюс,107.28,,,,,,,,,,,,,,Доппакет ЛД Накладные,,,,,,,,Эксперт,Комплекс коммерческий VIP Предприятие (1 пользователь),-,,,,,,,,,,,,Оптимальный Плюс,89.4,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,6.0,119.78,143.74,400,2025-10-01,,862.42,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",Оптимальный,200.89,,,,,,,,,,,,,2025-09-01 00:00:00,VIP Предприятие,10,10,10,,,,,Эксперт,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",Оптимальный,167.41,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,7.0,105.55,126.66,400,2025-10-01,,886.62,,,Эксперт,468.0,,,,,,,,,,,,,,Главный Бухгалтер ПРОФ,,5,5,3,,,,Эксперт,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,,Эксперт,390.0,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,8.0,94.23,113.08,400,2025-10-01,,904.61,,,Базовый,84.07,,,,,,,,,,,,,,Главный Бухгалтер ПРОФ (1 пользователь),,,1,,,,,Эксперт,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Базовый,70.06,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,9.0,85.56,102.67,400,2025-10-01,,924.05,,,Оптимальный Плюс,233.22,,,,,,,,,,,,,,Предприятие,5,10,10,,,,,Эксперт,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Оптимальный Плюс,194.35,,,,,,,,,,
Предприятие ПРОФ,Оптимальный,10.0,79.71,95.65,400,2025-10-01,,956.52,,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",Оптимальный,92.26,,,,,,,,,,,,,,Предприятие (1 пользователь),1,1,1,,,,,Оптимальный Плюс,"Пакет Программ Главный Бухгалтер, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",Оптимальный,76.88,,,,,,,,,,
Предприятие ПРОФ,Минимальный,1.0,47.74,57.29,60,2025-10-01,,57.29,,,Эксперт,236.53,,,,,,,,,,,,,,Предприятие ПРОФ,10,10,10,,,,,Оптимальный Плюс,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis, ilex.Накладные (1 пользователь, ЛД)",-,,,,,,,,,,,,Эксперт,197.11,,,,,,,,,,
Предприятие ПРОФ,Минимальный,2.0,43.87,52.64,60,2025-10-01,,105.29,,,Базовый,40.69,,,,,,,,,,,,,,Предприятие ПРОФ (1 пользователь),1,1,1,,,,,Оптимальный Плюс,"Пакет Программ Главный Бухгалтер, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Базовый,33.91,,,,,,,,,,
Предприятие ПРОФ,Минимальный,3.0,40.33,48.4,60,2025-10-01,,145.19,,,Оптимальный Плюс,107.28,,,,,,,,,,,,,,VIP Предприятие (1 пользователь),1,1,1,,,,,Оптимальный Плюс,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",-,,,,,,,,,,,,Оптимальный Плюс,89.4,,,,,,,,,,
Предприятие ПРОФ,Минимальный,4.0,37.0,44.4,60,2025-10-01,,177.6,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",Оптимальный,200.89,,,,,,,,,,,,,,Доппакет НМВ,,,,,,,,(пусто),Доппакет НМВ,-,,,,,,,,,,,"Пакет Программ Главный Бухгалтер ПРОФ, Podpis (1 пользователь, ЛД)",Оптимальный,167.41,,,,,,,,,,
Предприятие ПРОФ,Минимальный,5.0,34.0,40.8,60,2025-10-01,,204.0,,,Эксперт,468.0,,,,,,,,,,,,,,Доппакет НОВ,,,,,,,,(пусто),Доппакет НОВ,-,,,,,,,,,,,,Эксперт,390.0,,,,,,,,,,
Предприятие ПРОФ,Минимальный,6.0,31.26,37.51,60,2025-10-01,,225.07,,,Базовый,84.07,,,,,,,,,,,,,,Доппакет МВ Комплекс,,,,,,,,(пусто),Доппакет МВ Комплекс,-,,,,,,,,,,,,Базовый,70.06,,,,,,,,,,
Предприятие ПРОФ,Минимальный,7.0,28.12,33.74,60,2025-10-01,,236.21,,,Оптимальный Плюс,233.22,,,,,,,,,,,,,,Доппакет ОВ Комплекс,,,,,,,,(пусто),Доппакет ОВ Комплекс,-,,,,,,,,,,,,Оптимальный Плюс,194.35,,,,,,,,,,
